timepoint,cloudcover,lifted_index,prec_type,prec_amount,temp2m,rh2m,weather,wind10m.direction,wind10m.speed
3,7,-4,rain,2,29,80%,oshowerday,E,3
6,5,-4,rain,3,26,93%,ishowernight,SE,2
9,9,-1,none,3,25,92%,cloudynight,SE,2
12,8,-1,none,3,25,87%,cloudynight,S,2
15,8,-1,rain,3,24,88%,lightrainnight,SW,2
18,6,-1,none,3,25,85%,mcloudyday,S,2
21,6,-1,none,3,27,56%,mcloudyday,E,2
24,4,-1,none,3,29,49%,pcloudyday,E,2
27,1,-1,rain,3,32,53%,ishowerday,NE,3
30,1,-1,rain,3,28,81%,ishowernight,E,2
33,2,-1,rain,3,26,80%,ishowernight,S,2
36,3,2,rain,3,26,84%,ishowernight,SW,2
39,3,2,none,3,25,81%,pcloudynight,S,2
42,2,2,none,3,25,79%,clearday,S,2
45,1,-1,none,3,28,60%,clearday,E,2
48,1,-1,none,3,33,50%,clearday,E,2
51,6,-1,rain,3,32,59%,oshowerday,NE,3
54,4,-1,rain,3,27,86%,ishowernight,E,2
57,4,-1,none,3,26,89%,pcloudynight,SE,2
60,7,-1,none,3,25,88%,mcloudynight,SW,2
63,9,-1,none,3,25,87%,cloudynight,SW,2
66,8,-1,none,3,26,85%,cloudyday,SE,2
69,5,-4,none,3,28,63%,pcloudyday,E,2
72,4,-6,rain,3,28,50%,tsday,NE,2
75,9,-4,rain,3,31,70%,lightrainday,N,3
78,9,-1,rain,4,27,88%,rainnight,NE,2
81,9,-1,rain,4,26,90%,rainnight,SE,2
84,9,-1,rain,4,25,91%,rainnight,SW,2
87,9,-1,none,4,25,90%,cloudynight,SW,2
90,8,-1,none,4,25,89%,cloudyday,S,2
93,9,-1,rain,4,27,70%,rainday,NW,2
96,9,-1,rain,4,25,76%,rainday,N,2
99,9,-1,rain,4,24,76%,rainday,W,2
102,9,-1,rain,5,25,87%,rainnight,N,2
105,9,-1,rain,5,25,89%,rainnight,SE,2
108,9,2,rain,5,21,90%,rainnight,S,2
111,9,2,none,5,24,87%,cloudynight,S,2
114,9,2,none,5,25,85%,cloudyday,SW,2
117,9,-1,none,5,29,69%,cloudyday,W,2
120,9,-1,rain,5,32,50%,rainday,NE,2
123,9,-1,rain,5,32,51%,rainday,N,2
126,8,-1,rain,5,27,90%,rainnight,N,2
129,5,-1,rain,5,26,90%,rainnight,W,2
132,7,-1,rain,5,25,93%,rainnight,S,2
135,9,-1,none,5,25,89%,cloudynight,SE,2
138,9,-1,none,5,25,89%,cloudyday,SE,2
141,9,-1,none,5,26,79%,cloudyday,NE,2
144,9,-4,rain,5,27,67%,rainday,N,2
147,4,-4,rain,5,30,70%,rainday,N,2
150,6,-1,rain,6,26,93%,rainnight,E,2
153,9,-1,rain,6,26,90%,rainnight,S,2
156,9,-1,rain,6,25,92%,rainnight,SE,2
159,7,-1,none,6,25,92%,mcloudynight,S,2
162,7,-1,none,6,22,88%,mcloudyday,S,2
165,5,-4,rain,6,27,73%,rainday,E,2
168,6,-4,rain,6,26,62%,rainday,E,2
171,9,-4,rain,6,29,75%,rainday,E,3
174,8,-4,rain,6,26,93%,rainnight,E,2
177,9,-1,rain,6,22,93%,rainnight,SE,2
180,9,-1,rain,6,25,91%,rainnight,SE,2
183,4,2,none,6,24,92%,humidnight,S,2
186,7,-1,none,6,25,89%,mcloudyday,SE,2
189,7,-1,none,6,27,68%,mcloudyday,E,2
192,5,-1,rain,6,28,59%,rainday,E,3
